Date;Open;Close/Last;High;Low;Volume
01/26/2024;$47.00;$49.45;$50.095;$46.475;14.660.400,00 €
01/25/2024;$45.232;$45.778;$46.40;$44.5889;6.608.460,00 €
01/24/2024;$46.00;$45.099;$46.20;$44.505;8.232.670,00 €
01/23/2024;$45.00;$45.019;$45.9817;$43.874;11.716.070,00 €
01/22/2024;$46.80;$47.019;$48.396;$45.539;11.431.450,00 €
01/19/2024;$48.45;$48.10;$48.72;$46.50;11.771.730,00 €
01/18/2024;$50.00;$48.66;$52.20;$47.785;16.604.920,00 €
01/17/2024;$47.423;$49.90;$49.91;$47.423;9.765.870,00 €
01/16/2024;$47.90;$48.214;$48.948;$46.70;16.453.490,00 €
01/12/2024;$52.502;$48.553;$52.589;$48.10;27.402.780,00 €
01/11/2024;$59.899;$53.618;$61.10;$53.03;25.703.910,00 €
01/10/2024;$56.668;$56.567;$58.70;$55.3841;16.409.460,00 €
01/09/2024;$60.00;$57.729;$60.278;$57.125;14.346.430,00 €
01/08/2024;$64.00;$59.801;$64.688;$58.652;25.142.550,00 €
01/05/2024;$64.871;$63.108;$65.403;$63.003;9.323.070,00 €
01/04/2024;$63.86;$65.581;$66.80;$62.845;11.192.720,00 €
01/03/2024;$64.322;$63.106;$65.855;$62.53;18.805.690,00 €
01/02/2024;$69.249;$68.515;$72.777;$68.00;22.074.410,00 €
