fund_name,isin,currency,category,dividend,ann_cost,rating_class,risk_class,sustainablity_class,3y_ann_perf,5y_ann_perf,AUM_DKK,sharpe_ratio,provider,asset_class,geography
Nykredit Invest Lange Obligationer Akk.,DK0060034007,DKK,Obligationer - DKK Øvrige,Accumulating,0.38,2.0,3,Article 8,-7.31,-9.9,6227.0,-0.5,NykreditInvest,Bonds, DKK Øvrige
Sparindex INDEX Bæredygtige Europa KL,DK0060748044,DKK,Aktier - Europa Large Cap Blend,Distributing,0.4,3.0,4,Article 9,2.83,,725.0,0.28,SparInvest,Stocks,Europe
Sparindex INDEX Bæredygtige Global KL,DK0060747905,DKK,Aktier - Globale Large Cap Blend,Distributing,0.5,3.0,4,Article 9,5.96,36.18,154.0,0.36,SparInvest,Stocks,Global
Sparindex INDEX Bæredygtige Japan KL,DK0010297977,DKK,Aktier - Japan Large Cap,Distributing,0.5,3.0,4,Article 9,-38.92,-34.59,363.0,,SparInvest,Stocks,Asia
Sparindex INDEX Bæredygtige USA KL,DK0060748200,DKK,Aktier - USA Large Cap Blend,Distributing,0.5,2.0,5,Article 9,14.62,,797.0,0.45,SparInvest,Stocks,US
Sparindex INDEX DJSI World KL,DK0010297464,DKK,Aktier - Globale Large Cap Blend,Distributing,0.5,4.0,4,Article 8,3.29,33.94,4643.0,0.63,SparInvest,Stocks,Global
Sparindex INDEX Em MarkBo Lokva Akk KL A,DK0060254126,DKK,Obligationer - Nye Markeder EUR Fokus,Accumulating,0.6,4.0,3,Article 8,1.19,-0.13,1272.0,,SparInvest,Bonds,EmergingMarkets
Sparindex INDEX Em Market Bo Lokalvaluta,DK0060254043,DKK,Obligationer - Nye Markeder EUR Fokus,Distributing,0.6,4.0,3,Article 8,,,386.0,,SparInvest,Bonds,EmergingMarkets
Sparindex INDEX EM Market Bonds Akk KL A,DK0062729596,DKK,Obligationer - Nye Markeder,Accumulating,0.5,,3,Article 8,,,641.0,,SparInvest,Bonds,EmergingMarkets
Sparindex INDEX Emerging Market Bonds,DK0062729406,DKK,Obligationer - Nye Markeder,Distributing,0.5,,3,Article 8,,,378.0,,SparInvest,Bonds,EmergingMarkets
Sparindex INDEX Emerging Markets KL,DK0060300762,DKK,Aktier - Globale Nye Markeder,Distributing,0.5,4.0,4,Article 8,-3.66,12.5,1324.0,0.08,SparInvest,Stocks,EmergingMarkets
Sparindex INDEX Europa Growth KL,DK0010297548,DKK,Aktier - Europa Large Cap Growth,Distributing,0.4,4.0,4,Article 8,-17.06,9.18,166.0,0.18,SparInvest,Stocks,Europe
Sparindex INDEX Europa Small Cap KL,DK0010297621,DKK,Aktier - Europa Small Cap,Distributing,0.4,3.0,4,Article 8,-21.58,-0.32,181.0,-0.08,SparInvest,Stocks,Europe
Sparindex INDEX Europa Value KL,DK0010297704,DKK,Aktier - Europa Large Cap Value,Distributing,0.4,3.0,4,Article 8,22.04,33.79,780.0,0.63,SparInvest,Stocks,Europe
Sparindex INDEX Glob Akt Min. Ris Akk KL,DK0060748127,DKK,Aktier - Globale Large Cap Blend,Accumulating,0.5,2.0,4,Article 8,19.88,33.79,1504.0,0.56,SparInvest,Stocks,Global
Sparindex INDEX Globale Akt Min Risk KL,DK0060031847,DKK,Aktier - Globale Large Cap Blend,Distributing,0.5,3.0,4,Article 8,-7.37,-3.84,3541.0,0.58,SparInvest,Stocks,Global
Sparindex INDEX Globale Aktier KL,DK0060747822,DKK,Aktier - Globale Large Cap Blend,Distributing,0.5,4.0,4,Article 8,14.81,43.29,5461.0,0.49,SparInvest,Stocks,Global
Sparindex INDEX Høj Risiko KL,DK0060748713,DKK,Balanceret - EUR Høj Risiko Global,Distributing,0.69,3.0,4,Article 8,-1.61,11.95,237.0,0.18,SparInvest,Mixed,Europe
